Date,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
04/03/2020,50,48,7,1,3,3,12,4,7,115,7,1,1,0,2,1
05/03/2020,73,70,13,1,3,5,14,4,18,181,8,1,1,0,7,1
06/03/2020,96,117,19,2,4,11,16,5,18,329,10,2,2,0,7,1
07/03/2020,170,134,28,2,4,13,17,5,19,373,13,3,4,0,8,2
08/03/2020,182,172,40,4,4,13,19,8,21,398,19,9,4,0,7,2
09/03/2020,204,256,48,6,4,17,26,10,38,484,17,6,12,0,9,2
10/03/2020,237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4
11/03/2020,277,366,90,24,21,48,48,17,75,484,25,14,26,15,27,10
12/03/2020,454,500,137,30,38,88,99,23,129,688,52,14,45,27,31,14
13/03/2020,454,558,174,44,42,99,148,33,230,936,102,40,83,42,48,29
14/03/2020,569,681,216,61,50,158,203,45,253,1154,121,40,93,45,60,46
15/03/2020,827,886,265,84,53,162,286,50,287,1407,168,32,130,47,103,51
16/03/2020,1105,1067,300,94,56,260,342,51,391,1541,325,85,140,77,123,55
17/03/2020,1479,1109,345,73,57,310,373,45,325,2105,442,75,182,58,127,51
18/03/2020,1609,1243,391,92,69,358,432,56,478,2372,474,88,198,105,159,74
